Asset group asset details report
17 January 2025 - 17 February 2025
Asset status,Asset,Level,Status,Asset type,Last updated,Conversions,Conv. value,Impr.,Clicks,Currency code,Cost,Added by
Enabled,https://tpc.googlesyndication.com/simgad/11883699875136348234,Asset group,Not eligible,Square image,"15 Jan 2025, 22:19",0.00,0.00,101,3,AUD,7.71,Advertiser
Enabled,https://www.youtube.com/watch?v=7Pb_djNzr1o,Asset group,Not eligible,Vertical YouTube video,"15 Jan 2025, 22:19",2.00,170.24,"44,298",351,AUD,255.55,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/7595604581775527436,Asset group,Not eligible,Horizontal image,"15 Jan 2025, 23:29",0.00,0.00,147,5,AUD,2.30,Advertiser
Enabled,The Ultimate Romantic Gift,Asset group,Unknown,Headline,"20 Feb 2025, 12:40",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Celebrate love with a unique and heartfelt gift!,Asset group,Not eligible,Description,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/2346237648930491960,Asset group,Not eligible,Square image,"15 Jan 2025, 22:19",3.00,213.21,206,23,AUD,39.65,Advertiser
Enabled,Inspired by the nostalgia of Pokémon,Asset group,Unknown,Long headline,"15 Jan 2025, 22:19",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Crafted with high-quality materials,Asset group,Unknown,Long headline,"17 Jan 2025, 15:09",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Perfect Romantic Gift,Asset group,Not eligible,Headline,"15 Jan 2025, 22:19",0.00,0.00,13,0,AUD,0.00,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/666306647063114526,Campaign,Not eligible,Logo,"23 Oct 2025, 19:03",0.00,0.00,"5,607",60,AUD,19.77,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/8011299693702661517,Asset group,Not eligible,Horizontal image,"15 Jan 2025, 22:19",0.00,0.00,228,5,AUD,0.62,Advertiser
Enabled,Buy limited edition gift card,Asset group,Unknown,Headline,"20 Feb 2025, 12:40",0.00,0.00,32,0,AUD,0.00,Google AI
Enabled,https://tpc.googlesyndication.com/simgad/9458430944802091923,Asset group,Not eligible,Vertical image,"23 Jan 2025, 05:17",0.00,0.00,64,2,AUD,0.34,Advertiser
Enabled,A romantic gift as unique as your love—holographic Pokémon-inspired cards!,Asset group,Not eligible,Description,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
