Shopping products
17 January 2025 - 17 February 2025
Item ID,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
shopify_us_9867220484412_50712508727612,"2,606","124,543",2.09%,AUD,1.05,2743.16,202.39,13.55,7.76%
shopify_us_9867220484412_50712884314428,548,"72,412",0.76%,AUD,0.78,428.00,18.80,22.76,3.41%
shopify_us_9867220484412_50712508760380,420,"16,058",2.62%,AUD,1.19,499.72,36.53,13.68,8.70%
shopify_us_9867220484412_50712884347196,315,"16,922",1.86%,AUD,1.10,345.66,14.79,23.37,4.70%
shopify_us_9867220484412_50712508858684,223,"15,429",1.45%,AUD,1.46,326.57,19.25,16.96,8.63%
shopify_us_9867220484412_50712508793148,197,"14,838",1.33%,AUD,1.24,244.42,13.17,18.56,6.68%
shopify_us_9867220484412_50712508891452,135,"15,100",0.89%,AUD,1.45,195.32,7.83,24.94,5.80%
shopify_us_9867220484412_50712884576572,134,"10,665",1.26%,AUD,1.11,148.85,7.00,21.26,5.22%
shopify_us_9867220484412_50712884412732,118,"7,632",1.55%,AUD,1.20,141.50,9.17,15.44,7.77%
shopify_us_9867220484412_50712508825916,79,"15,064",0.52%,AUD,1.22,96.59,3.25,29.72,4.01%
shopify_us_9867220484412_50712508924220,65,"7,851",0.83%,AUD,1.52,98.99,4.50,22.00,6.92%
shopify_us_9867220484412_50712884445500,51,"6,365",0.80%,AUD,1.34,68.16,5.00,13.63,9.43%
shopify_us_9867220484412_50712884609340,51,"4,045",1.26%,AUD,1.07,54.48,3.50,15.57,6.86%
shopify_us_9867220484412_50712884379964,49,"3,632",1.35%,AUD,0.94,45.84,5.50,8.33,11.22%
shopify_us_9867220484412_50712884642108,31,"3,273",0.95%,AUD,0.70,21.81,2.00,10.91,6.45%
shopify_us_9867220484412_50712884543804,25,"4,141",0.60%,AUD,0.19,4.77,0.00,0,0.00%
shopify_us_9867220484412_50712884707644,25,"4,119",0.61%,AUD,1.46,36.52,0.00,0,0.00%
shopify_us_9867220484412_50712884511036,18,"1,957",0.92%,AUD,1.21,21.80,0.50,43.61,2.78%
shopify_us_9867220484412_50712884740412,7,"1,237",0.57%,AUD,1.41,9.87,1.58,6.23,22.62%
shopify_us_9867220484412_50712884478268,6,"1,237",0.49%,AUD,0.93,5.55,1.00,5.55,16.67%
shopify_us_9872486236476_50728057536828,2,689,0.29%,AUD,0.33,0.66,0.00,0,0.00%
shopify_us_9872484958524_50728056193340,2,677,0.30%,AUD,0.58,1.17,0.00,0,0.00%
shopify_us_9867220484412_50712884674876,2,808,0.25%,AUD,0.51,1.03,0.00,0,0.00%
 --,0,0,0,AUD,0,0.00,0.00,0,0
